CustomerID,Cluster
C0001,7
C0002,7
C0003,6
C0004,5
C0005,1
C0006,3
C0007,1
C0008,8
C0009,4
C0010,6
C0011,7
C0012,0
C0013,0
C0014,4
C0015,1
C0016,7
C0017,0
C0018,2
C0019,8
C0020,1
C0021,0
C0022,0
C0023,0
C0024,8
C0025,4
C0026,3
C0027,6
C0028,5
C0029,7
C0030,7
C0031,7
C0032,4
C0033,4
C0034,7
C0035,7
C0036,1
C0037,0
C0038,7
C0039,0
C0040,3
C0041,2
C0042,1
C0043,4
C0044,3
C0045,2
C0046,0
C0047,8
C0048,7
C0049,8
C0050,3
C0051,0
C0052,7
C0053,2
C0054,5
C0055,7
C0056,7
C0057,0
C0058,4
C0059,5
C0060,4
C0061,1
C0062,1
C0063,1
C0064,7
C0065,5
C0066,3
C0067,0
C0068,5
C0069,7
C0070,6
C0071,1
C0072,7
C0073,6
C0074,3
C0075,5
C0076,7
C0077,4
C0078,1
C0079,3
C0080,1
C0081,7
C0082,2
C0083,4
C0084,0
C0085,1
C0086,7
C0087,2
C0088,8
C0089,3
C0090,0
C0091,6
C0092,7
C0093,0
C0094,4
C0095,1
C0096,2
C0097,4
C0098,8
C0099,5
C0100,0
C0101,0
C0102,5
C0103,8
C0104,5
C0105,0
C0106,7
C0107,7
C0108,0
C0109,5
C0110,6
C0111,6
C0112,1
C0113,0
C0114,2
C0115,3
C0116,8
C0117,3
C0118,8
C0119,4
C0120,6
C0121,4
C0122,0
C0123,1
C0124,0
C0125,7
C0126,0
C0127,8
C0128,4
C0129,6
C0130,1
C0131,1
C0132,1
C0133,7
C0134,6
C0135,7
C0136,2
C0137,7
C0138,2
C0139,8
C0140,1
C0141,5
C0142,7
C0143,2
C0144,6
C0145,0
C0146,7
C0147,8
C0148,2
C0149,2
C0150,1
C0151,6
C0152,7
C0153,0
C0154,8
C0155,0
C0156,5
C0157,8
C0158,3
C0159,1
C0160,7
C0161,8
C0162,0
C0163,2
C0164,7
C0165,5
C0166,7
C0167,1
C0168,3
C0169,2
C0170,2
C0171,2
C0172,8
C0173,0
C0174,7
C0175,5
C0176,6
C0177,7
C0178,7
C0179,7
C0180,7
C0181,7
C0182,2
C0183,7
C0184,8
C0185,3
C0186,1
C0187,7
C0188,5
C0189,7
C0190,7
C0191,7
C0192,7
C0193,7
C0194,8
C0195,0
C0196,3
C0197,6
C0198,4
C0199,7
C0200,2
